State,Date,MostLikelyRt,LowRt,HighRt
Andhra Pradesh,2020-03-18,0.0,0.59,12.0
Andhra Pradesh,2020-03-19,1.0,0.0,6.3500000000000005
Andhra Pradesh,2020-03-20,1.0,0.0,5.08
Andhra Pradesh,2020-03-21,1.0,0.0,4.44
Andhra Pradesh,2020-03-22,1.0,0.0,4.03
Andhra Pradesh,2020-03-23,1.0,0.0,3.74
Andhra Pradesh,2020-03-24,1.0,0.0,3.5300000000000002
Andhra Pradesh,2020-03-25,1.53,0.0,3.66
Andhra Pradesh,2020-03-26,1.47,0.0,3.49
Andhra Pradesh,2020-03-27,1.8,0.01,3.61
Andhra Pradesh,2020-03-28,1.96,0.1,3.65
Andhra Pradesh,2020-03-29,2.99,1.27,4.5600000000000005
Andhra Pradesh,2020-03-30,3.11,1.82,4.3500000000000005
Andhra Pradesh,2020-03-31,2.85,1.83,3.83
Andhra Pradesh,2020-04-01,2.49,1.6500000000000001,3.31
Andhra Pradesh,2020-04-02,2.25,1.54,2.96
Andhra Pradesh,2020-04-03,2.0,1.36,2.61
Andhra Pradesh,2020-04-04,1.78,1.22,2.36
Andhra Pradesh,2020-04-05,1.53,1.01,2.08
Andhra Pradesh,2020-04-06,1.32,0.8,1.82
Andhra Pradesh,2020-04-07,1.12,0.62,1.6300000000000001
Andhra Pradesh,2020-04-08,0.9500000000000001,0.43,1.44
Andhra Pradesh,2020-04-09,0.78,0.25,1.28
Andhra Pradesh,2020-04-10,0.67,0.15,1.2
Andhra Pradesh,2020-04-11,0.66,0.13,1.21
Andhra Pradesh,2020-04-12,0.72,0.16,1.29
Andhra Pradesh,2020-04-13,0.79,0.22,1.4000000000000001
Andhra Pradesh,2020-04-14,0.9500000000000001,0.36,1.57
Andhra Pradesh,2020-04-15,1.07,0.47000000000000003,1.67
Andhra Pradesh,2020-04-16,1.2,0.62,1.79
Andhra Pradesh,2020-04-17,1.32,0.77,1.9000000000000001
Andhra Pradesh,2020-04-18,1.35,0.8200000000000001,1.9000000000000001
Andhra Pradesh,2020-04-19,1.36,0.85,1.8800000000000001
Andhra Pradesh,2020-04-20,1.3800000000000001,0.88,1.86
Andhra Pradesh,2020-04-21,1.33,0.85,1.79
Andhra Pradesh,2020-04-22,1.3,0.86,1.77
Bihar,2020-03-21,0.0,0.59,12.0
Bihar,2020-03-22,1.0,0.0,6.3500000000000005
Bihar,2020-03-23,1.0,0.0,5.08
Bihar,2020-03-24,1.0,0.0,4.44
Bihar,2020-03-25,1.0,0.0,4.03
Bihar,2020-03-26,1.73,0.0,4.14
Bihar,2020-03-27,1.53,0.0,3.66
Bihar,2020-03-28,1.42,0.0,3.34
Bihar,2020-03-29,1.73,0.01,3.47
Bihar,2020-03-30,1.62,0.0,3.23
Bihar,2020-03-31,1.53,0.0,3.0500000000000003
Bihar,2020-04-01,1.47,0.01,2.92
Bihar,2020-04-02,1.22,0.0,2.64
Bihar,2020-04-03,1.0,0.0,2.45
Bihar,2020-04-04,1.0,0.0,2.45
Bihar,2020-04-05,0.78,0.0,2.31
Bihar,2020-04-06,1.0,0.0,2.49
Bihar,2020-04-07,1.22,0.0,2.64
Bihar,2020-04-08,1.59,0.11,2.99
Bihar,2020-04-09,1.51,0.12,2.85
Bihar,2020-04-10,1.59,0.19,2.86
Bihar,2020-04-11,1.27,0.05,2.43
